Commodity,Sub-Category,Item description,Final Search Term,CAS Number,Synonyms
Oil Vegetable,Glycerin,Glycerine Pharma,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,GLYCERINE  99.8% EP,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,GLYCERIN (GLYCEROL),Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,GLYCERINE-PHARMA,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,nan,GLYCERIN,GLYCERIN (Raw Desc),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,nan,"*GLYCERINE ,KG,EU",*GLYCERINE,NOT FOUND,N/A
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,nan,"GLYCERIN, USP",GLYCERIN (Clean Desc),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Surfactant Nonionic,POLYGLYCEROL OLEATE ESTER (Emulsogen),AU - POLYGLYCEROL OLEATE ESTER,POLYGLYCEROL OLEATE ESTER,NOT FOUND,N/A
Oil Vegetable,Glycerin,COGNIS GLYCEROL  (KOSHER),Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,COGNIS GLYCEROL DRUM,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,GLYCEROL 99%,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,Glycerine Pharma,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Surfactant Nonionic,POLYGLYCEROL OLEATE ESTER (Emulsogen),POLYGLYCEROL OLEATE ESTER,POLYGLYCEROL OLEATE ESTER,NOT FOUND,N/A
